Sample.ID,Year,Month,Marsh,Cage,Treatment,Plant,Amount.mg,TotalC.ug,TotalN.ug,ratio
,2018,October,SDL,39,ambient,Cordgrass,7.6,2714.58,76.57,35.45452303
,2018,October,SDL,39,ambient,Cordgrass,7.3,2586.64,77.07,33.56443354
,2018,October,SDL,40,removal,Cordgrass,6.1,2261.42,66.11,34.20841844
,2018,October,SDL,40,removal,Cordgrass,5.2,2051.39,57.98,35.37836879
,2018,October,SDL,40,removal,Cordgrass,3.3,1193.83,32.64,36.57888631
,2018,October,SDL,LL,ncc,Cordgrass,4.9,1761.3,50.73,34.71813065
,2018,October,SDL,LL,ncc,Cordgrass,5.3,1915.56,59.99,31.92890207
,2018,October,SDL,LL,ncc,Cordgrass,5.9,2172.37,58.87,36.90040981
,2018,October,SDL,MM,ncc,Cordgrass,5.1,1777.67,51.86,34.28002676
,2018,October,SDL,MM,ncc,Cordgrass,5.6,2177.64,56.3,38.68050718
,2018,October,SDL,MM,ncc,Cordgrass,6.8,2605.96,70.68,36.87127764
,2018,October,SDL,NN,ncc,Cordgrass,4.7,1853.71,45.51,40.73039225
,2018,October,SDL,NN,ncc,Cordgrass,5.9,2306.42,52.48,43.94910822
,2018,October,SDL,NN,ncc,Cordgrass,4.7,1723.96,40.82,42.23382173
,2018,October,SDL,OO,ncc,Cordgrass,5.4,1704.51,61.06,27.91601473
,2018,October,SDL,OO,ncc,Cordgrass,4.9,1770.05,58.43,30.29474118
,2018,October,SDL,OO,ncc,Cordgrass,7.6,2572.52,89.83,28.63628369
,2018,October,SDL,PP,ncc,Cordgrass,8.4,3022.49,75.36,40.10803289
,2018,October,SDL,PP,ncc,Cordgrass,4.8,1806.96,46.88,38.54717731
,2018,October,SDL,PP,ncc,Cordgrass,4.4,1678.18,41.18,40.75627626
,2018,October,SDL,31,ambient,Pickleweed,6.7,2472.75,62.74,39.41132987
,2018,October,SDL,31,ambient,Pickleweed,6.8,2511.13,57.69,43.52918316
,2018,October,SDL,31,ambient,Pickleweed,5.2,1926.93,41.74,46.1645871
,2018,October,SDL,32,removal,Pickleweed,4.3,1405.31,29.87,47.05413778
,2018,October,SDL,32,removal,Pickleweed,6.5,1896.98,49.28,38.49474779
,2018,October,SDL,32,removal,Pickleweed,6.7,1844.59,49.63,37.16343225
,2018,October,SDL,33,removal,Pickleweed,3.4,841.02,23.31,36.08446767
,2018,October,SDL,33,removal,Pickleweed,7.6,1749.87,49.13,35.61664193
,2018,October,SDL,33,removal,Pickleweed,9.6,2229.14,59.61,37.39514416
,2018,October,SDL,34,ambient,Pickleweed,4.3,1457.98,32.25,45.20881172
,2018,October,SDL,34,ambient,Pickleweed,5.5,1741.11,34.25,50.84219129
,2018,October,SDL,34,ambient,Pickleweed,8.5,2841.27,57.72,49.22668449
,2018,October,SDL,35,ambient,Pickleweed,3.4,1294.32,28.38,45.60079373
,2018,October,SDL,35,ambient,Pickleweed,3.2,1059.26,23.71,44.66970594
,2018,October,SDL,35,ambient,Pickleweed,3.5,NA,NA,NA
,2018,October,SDL,37,ambient,Pickleweed,4.6,1461.82,36.3,40.27144508
,2018,October,SDL,37,ambient,Pickleweed,2.6,NA,NA,NA
,2018,October,SDL,37,ambient,Pickleweed,3.3,NA,NA,NA
,2018,October,SDL,38,removal,Pickleweed,6.3,2199.83,51.09,43.06049575
,2018,October,SDL,38,removal,Pickleweed,5.8,1987.89,53.1,37.43587414
,2018,October,SDL,38,removal,Pickleweed,6.2,2250.54,57.22,39.3346078
,2018,October,SDL,39,ambient,Pickleweed,3.9,1316.32,28.45,46.26868946
,2018,October,SDL,39,ambient,Pickleweed,5.1,1637.69,41.71,39.26298304
,2018,October,SDL,39,ambient,Pickleweed,7.4,2186.29,56.33,38.81376962
,2018,October,SDL,40,removal,Pickleweed,3.4,1318.63,25.04,52.66322714
,2018,October,SDL,40,removal,Pickleweed,6,2225.01,40.64,54.74778847
,2018,October,SDL,40,removal,Pickleweed,5.6,2250.16,36.48,61.68600465
,2018,October,SDL,LL,ncc,Pickleweed,2.4,NA,NA,NA
,2018,October,SDL,LL,ncc,Pickleweed,3.2,894.15,25.53,35.02135479
,2018,October,SDL,LL,ncc,Pickleweed,10.8,2942.12,89.95,32.70780262
,2018,October,SDL,MM,ncc,Pickleweed,3.1,983.03,29.6,33.21337052
,2018,October,SDL,MM,ncc,Pickleweed,4.3,1218.21,37.1,32.83353921
,2018,October,SDL,MM,ncc,Pickleweed,4.6,1297.8,36.48,35.57783705
,2018,October,SDL,NN,ncc,Pickleweed,4.2,1191.12,37.25,31.97530766
,2018,October,SDL,NN,ncc,Pickleweed,4.3,1274.63,37.55,33.9461315
,2018,October,SDL,NN,ncc,Pickleweed,4.5,1390.68,44,31.6080371
,2018,October,SDL,OO,ncc,Pickleweed,5,1601.36,42.9,37.32864873
,2018,October,SDL,OO,ncc,Pickleweed,6.1,1904.57,52.3,36.41504888
,2018,October,SDL,OO,ncc,Pickleweed,5.3,1704.13,44.56,38.24178927
,2018,October,SDL,PP,ncc,Pickleweed,8.5,2149.42,58.49,36.75038427
,2018,October,SDL,PP,ncc,Pickleweed,6.2,1672.45,44.44,37.63125712
,2018,October,SDL,PP,ncc,Pickleweed,6.6,1612.46,44.24,36.45177645
,2018,October,KF1,1,ambient,Cordgrass,2.1,693.35,27.75,24.98980225
,2018,October,KF1,1,ambient,Cordgrass,5.5,1747.58,69.7,25.07124683
,2018,October,KF1,1,ambient,Cordgrass,4.3,1557.72,59.61,26.13170541
,2018,October,KF1,2,ambient,Cordgrass,9,2552.82,101.53,25.14243124
,2018,October,KF1,2,ambient,Cordgrass,6.5,2220.12,85.58,25.94109257
,2018,October,KF1,2,ambient,Cordgrass,5.1,1524.38,69.59,21.90610437
,2018,October,KF1,3,removal,Cordgrass,5.7,2073.66,97.24,21.32533209
,2018,October,KF1,3,removal,Cordgrass,5.5,1926.17,85.03,22.65400889
,2018,October,KF1,3,removal,Cordgrass,4.4,1670.16,72.86,22.92385643
,2018,October,KF1,4,ambient,Cordgrass,5.9,1927.31,90.1,21.39126996
,2018,October,KF1,4,ambient,Cordgrass,5.3,1643.04,79.03,20.78878877
,2018,October,KF1,4,ambient,Cordgrass,7.5,2632.68,139.16,18.91779241
,2018,October,KF1,5,removal,Cordgrass,7.7,2867.06,101.36,28.28623407
,2018,October,KF1,5,removal,Cordgrass,6.2,2285.8,90.77,25.18186382
,2018,October,KF1,5,removal,Cordgrass,6.3,2442.16,94.84,25.75011188
,2018,October,KF1,6,removal,Cordgrass,6,2129.46,89.66,23.75074321
,2018,October,KF1,6,removal,Cordgrass,4.5,1652.59,64.84,25.48788814
,2018,October,KF1,6,removal,Cordgrass,5,1879.15,73.53,25.55479833
,2018,October,KF1,7,ambient,Cordgrass,4.5,1658.7,73.86,22.45804653
,2018,October,KF1,7,ambient,Cordgrass,8.1,2868.9,129.51,22.15250887
,2018,October,KF1,7,ambient,Cordgrass,6.7,2473.87,119.71,20.66634551
,2018,October,KF1,8,ambient,Cordgrass,4.9,1810.01,60.47,29.93358138
,2018,October,KF1,8,ambient,Cordgrass,3.4,1271.93,44.56,28.54302451
,2018,October,KF1,8,ambient,Cordgrass,3.1,1177.57,41.86,28.13159411
,2018,October,KF1,9,removal,Cordgrass,4.5,1609.03,71.32,22.56028069
,2018,October,KF1,9,removal,Cordgrass,7.5,2585.39,103.23,25.04571321
,2018,October,KF1,9,removal,Cordgrass,7.8,2772.66,110.99,24.98212402
,2018,October,KF1,10,removal,Cordgrass,5.2,1759.95,70.81,24.85464174
,2018,October,KF1,10,removal,Cordgrass,6.8,2371.78,98.49,24.08143076
,2018,October,KF1,10,removal,Cordgrass,8.2,2905.07,115.94,25.05686983
,2018,October,KF1,N,ncc,Cordgrass,6.3,2129.44,92.13,23.11283619
,2018,October,KF1,N,ncc,Cordgrass,2.7,1036.44,48.27,21.47098417
,2018,October,KF1,N,ncc,Cordgrass,5.6,1961.05,86.03,22.79487475
,2018,October,KF1,O,ncc,Cordgrass,5.9,2041.54,83.57,24.42794089
,2018,October,KF1,O,ncc,Cordgrass,5.9,1954.94,81.57,23.96774907
,2018,October,KF1,O,ncc,Cordgrass,7.9,2798.36,106.59,26.25388098
,2018,October,KF1,P,ncc,Cordgrass,5.7,2173.49,102.48,21.20843095
,2018,October,KF1,P,ncc,Cordgrass,4.9,1681.5,74.87,22.45876942
,2018,October,KF1,P,ncc,Cordgrass,7.3,2391.77,133.14,17.96493116
,2018,October,KF1,Q,ncc,Cordgrass,5.1,1784.92,66.2,26.96194972
,2018,October,KF1,Q,ncc,Cordgrass,7.5,2772.66,97.8,28.34905567
,2018,October,KF1,Q,ncc,Cordgrass,5.3,2041.92,76.82,26.57941782
,2018,October,KF1,R,ncc,Cordgrass,5.8,2072.77,79.56,26.05437827
,2018,October,KF1,R,ncc,Cordgrass,8,2866.82,111.58,25.69308116
,2018,October,KF1,R,ncc,Cordgrass,7.3,2512.21,103.94,24.16955259
,2018,October,KF1,1,ambient,Pickleweed,10.4,3805.25,137.96,27.58176467
,2018,October,KF1,1,ambient,Pickleweed,9.2,3114.48,112.26,27.7429826
,2018,October,KF1,1,ambient,Pickleweed,7.7,2812.88,94.07,29.90077355
,2018,October,KF1,2,ambient,Pickleweed,8,2908.04,88.69,32.78731974
,2018,October,KF1,2,ambient,Pickleweed,4.9,1711.13,51.45,33.25543626
,2018,October,KF1,2,ambient,Pickleweed,6.9,2540.38,76.79,33.08067677
,2018,October,KF1,3,removal,Pickleweed,5.7,2244.39,62.04,36.1774702
,2018,October,KF1,3,removal,Pickleweed,3.3,1236.26,34.65,35.67369053
,2018,October,KF1,3,removal,Pickleweed,6.4,2343.85,74.33,31.53333371
,2018,October,KF1,4,ambient,Pickleweed,5.9,2415.89,73.4,32.91534781
,2018,October,KF1,4,ambient,Pickleweed,10.1,3907.51,115.32,33.88501322
,2018,October,KF1,4,ambient,Pickleweed,5.3,1895.68,60.68,31.24078793
,2018,October,KF1,5,removal,Pickleweed,6,2534.37,76.16,33.27581839
,2018,October,KF1,5,removal,Pickleweed,6.2,2442.26,73.91,33.04441361
,2018,October,KF1,5,removal,Pickleweed,9.3,3729.42,88.48,42.1476263
,2018,October,KF1,6,removal,Pickleweed,6.7,2405.34,85.22,28.22450971
,2018,October,KF1,6,removal,Pickleweed,6.4,2424.56,91.89,26.38450022
,2018,October,KF1,6,removal,Pickleweed,5.9,2172.74,80.73,26.9150683
,2018,October,KF1,7,ambient,Pickleweed,7.2,2844.14,81.6,34.85659939
,2018,October,KF1,7,ambient,Pickleweed,7,2633.34,82.02,32.10790303
,2018,October,KF1,7,ambient,Pickleweed,5.2,2029.35,58.53,34.66914555
,2018,October,KF1,8,ambient,Pickleweed,7.5,2896.16,77.21,37.50831493
,2018,October,KF1,8,ambient,Pickleweed,8.2,3006.99,83.63,35.95415625
,2018,October,KF1,9,removal,Pickleweed,9.5,3442.81,115.79,29.73301311
,2018,October,KF1,9,removal,Pickleweed,6.9,2493.05,78.69,31.68383329
,2018,October,KF1,9,removal,Pickleweed,10.5,3783.96,113.27,33.4064102
,2018,October,KF1,10,removal,Pickleweed,9.1,3537.92,109.71,32.24825074
,2018,October,KF1,10,removal,Pickleweed,7.7,2879.82,97.06,29.6709674
,2018,October,KF1,10,removal,Pickleweed,9.6,3311.16,108.28,30.57879519
,2018,October,KF1,N,ncc,Pickleweed,8.1,3149.49,81.87,38.47165258
,2018,October,KF1,N,ncc,Pickleweed,5.1,1880.75,52.57,35.77288062
,2018,October,KF1,N,ncc,Pickleweed,6,2238.71,61.34,36.49436564
,2018,October,KF1,O,ncc,Pickleweed,6.7,2309.47,62.04,37.22646933
,2018,October,KF1,O,ncc,Pickleweed,10.9,3564.46,117.15,30.4254732
,2018,October,KF1,O,ncc,Pickleweed,3,961.46,25.52,37.67877834
,2018,October,KF1,P,ncc,Pickleweed,9,2521.6,56.9,44.31470316
,2018,October,KF1,P,ncc,Pickleweed,5.1,1322.34,37.43,35.33241514
,2018,October,KF1,P,ncc,Pickleweed,5.3,1579.31,41.44,38.11035144
,2018,October,KF1,Q,ncc,Pickleweed,4.7,1578.54,57.69,27.3632465
,2018,October,KF1,Q,ncc,Pickleweed,5.6,1858.16,57.69,32.21036095
,2018,October,KF1,Q,ncc,Pickleweed,6.5,1984.34,55.51,35.74688776
,2018,October,KF1,R,ncc,Pickleweed,7.2,2144.26,63,34.03356507
,2018,October,KF1,R,ncc,Pickleweed,4.6,1429.54,41.5,34.44575722
,2018,October,KF1,R,ncc,Pickleweed,6.5,1951.12,50.06,38.97536825
,2018,October,KF2,11,ambient,Cordgrass,5.2,1992.35,80.04,24.8933423
,2018,October,KF2,11,ambient,Cordgrass,8.1,2984.04,123.6,24.14179845
,2018,October,KF2,11,ambient,Cordgrass,6.7,2445.27,106.77,22.90287874
,2018,October,KF2,12,removal,Cordgrass,4.8,1790.67,72.71,24.629151
,2018,October,KF2,12,removal,Cordgrass,5.9,2349.51,88.78,26.46330902
,2018,October,KF2,12,removal,Cordgrass,6.8,2636.7,110.36,23.89139785
,2018,October,KF2,13,removal,Cordgrass,5.5,1873.86,78.47,23.87847264
,2018,October,KF2,13,removal,Cordgrass,6,2321.94,100.13,23.18940278
,2018,October,KF2,13,removal,Cordgrass,7,2818.1,116.59,24.17077485
,2018,October,KF2,14,removal,Cordgrass,6.5,2324.59,102.84,22.6039464
,2018,October,KF2,14,removal,Cordgrass,4.6,1625.62,70.99,22.89913737
,2018,October,KF2,14,removal,Cordgrass,7.9,2592.14,119.85,21.6284601
,2018,October,KF2,15,ambient,Cordgrass,5.9,1838.23,110.57,16.62508252
,2018,October,KF2,15,ambient,Cordgrass,6.8,2388.75,128.54,18.58427041
,2018,October,KF2,15,ambient,Cordgrass,9.9,3144.7,183.09,17.17564006
,2018,October,KF2,17,ambient,Cordgrass,4.5,1689.2,86.15,19.60758707
,2018,October,KF2,17,ambient,Cordgrass,5,1961.05,88.69,22.11028229
,2018,October,KF2,17,ambient,Cordgrass,4.6,1759.57,80.79,21.78073713
,2018,October,KF2,18,removal,Cordgrass,4.3,1480.7,63.22,23.42304138
,2018,October,KF2,18,removal,Cordgrass,7.1,2476.12,100.07,24.74397551
,2018,October,KF2,18,removal,Cordgrass,8.1,2824.05,134.78,20.95229983
,2018,October,KF2,19,ambient,Cordgrass,4,1471.79,64.51,22.81395675
,2018,October,KF2,19,ambient,Cordgrass,5.4,1929.34,85.37,22.59930455
,2018,October,KF2,19,ambient,Cordgrass,4.7,1741.89,77.42,22.49809169
,2018,October,KF2,20,ambient,Cordgrass,5.2,1806.48,71.7,25.19535359
,2018,October,KF2,20,ambient,Cordgrass,4.9,1585.31,65.79,24.09761064
,2018,October,KF2,20,ambient,Cordgrass,5.9,2093.08,79.12,26.45522839
,2018,October,KF2,V,ncc,Cordgrass,3.4,1186.13,59.46,19.94962325
,2018,October,KF2,V,ncc,Cordgrass,5.8,2152.38,86.42,24.90501993
,2018,October,KF2,V,ncc,Cordgrass,4,1421.74,52.36,27.15350277
,2018,October,KF2,W,ncc,Cordgrass,8.4,3387.82,118.87,28.49969852
,2018,October,KF2,W,ncc,Cordgrass,6.2,2383.43,73.31,32.50948767
,2018,October,KF2,W,ncc,Cordgrass,9.4,3674.09,140.1,26.22411121
,2018,October,KF2,X,ncc,Cordgrass,8.1,3202.09,102.33,31.29221231
,2018,October,KF2,X,ncc,Cordgrass,6.9,2743.34,86.21,31.82261687
,2018,October,KF2,X,ncc,Cordgrass,4.9,1848.87,58.49,31.61116912
,2018,October,KF2,Y,ncc,Cordgrass,6.7,2419.5,92.69,26.1026213
,2018,October,KF2,Y,ncc,Cordgrass,4.4,1513.07,57.08,26.50694467
,2018,October,KF2,Y,ncc,Cordgrass,6.9,2419.5,94.51,25.60020679
,2018,October,KF2,Z,ncc,Cordgrass,4.7,1608.57,69.37,23.18936316
,2018,October,KF2,Z,ncc,Cordgrass,5.7,1994.6,80.42,24.80252367
,2018,October,KF2,Z,ncc,Cordgrass,4.7,1807.66,75.71,23.87743544
,2018,October,KF2,11,ambient,Pickleweed,3.9,1389.28,38.21,36.3630203
,2018,October,KF2,11,ambient,Pickleweed,6.7,2361.69,69.96,33.75882384
,2018,October,KF2,11,ambient,Pickleweed,6.7,2397.4,66,36.32149511
,2018,October,KF2,12,removal,Pickleweed,5,2000.08,51.26,39.01558366
,2018,October,KF2,12,removal,Pickleweed,5.2,2059.1,53.55,38.45293863
,2018,October,KF2,12,removal,Pickleweed,6,2386.92,53.24,44.83679423
,2018,October,KF2,13,removal,Pickleweed,4.9,1831.61,56.08,32.65947727
,2018,October,KF2,13,removal,Pickleweed,7.4,2899.44,90.38,32.08132942
,2018,October,KF2,13,removal,Pickleweed,7.1,2781.06,76.45,36.37726272
,2018,October,KF2,14,removal,Pickleweed,6.9,2249.37,78.78,28.55370291
,2018,October,KF2,14,removal,Pickleweed,4.3,1360.76,57.39,23.70890065
,2018,October,KF2,14,removal,Pickleweed,5.8,1975.83,64.38,30.68778247
,2018,October,KF2,15,ambient,Pickleweed,8.9,3201.32,79.61,40.21067697
,2018,October,KF2,15,ambient,Pickleweed,8.9,3496.71,84.26,41.49967306
,2018,October,KF2,15,ambient,Pickleweed,4.6,1718.45,33.01,52.05869671
,2018,October,KF2,16,removal,Pickleweed,8.3,2740.64,88.4,31.00224125
,2018,October,KF2,16,removal,Pickleweed,6.1,2118.84,67.44,31.41935181
,2018,October,KF2,16,removal,Pickleweed,8.5,3137.97,96.3,32.58596987
,2018,October,KF2,17,ambient,Pickleweed,7.4,2999.9,77.91,38.505387
,2018,October,KF2,17,ambient,Pickleweed,4.9,1858.68,53.8,34.54861141
,2018,October,KF2,17,ambient,Pickleweed,7.7,3058.47,86.18,35.49084152
,2018,October,KF2,18,removal,Pickleweed,6.3,2529.89,61.64,41.04242553
,2018,October,KF2,18,removal,Pickleweed,6.5,2687.46,61.64,43.59879416
,2018,October,KF2,18,removal,Pickleweed,6.6,2540.72,55.18,46.04810208
,2018,October,KF2,19,ambient,Pickleweed,4.2,1564.79,40.69,38.45610431
,2018,October,KF2,19,ambient,Pickleweed,4.7,1684.6,43.27,38.93528866
,2018,October,KF2,19,ambient,Pickleweed,5.1,1893.97,44.87,42.21208179
,2018,October,KF2,20,ambient,Pickleweed,6.2,1673.19,52.45,31.89857126
,2018,October,KF2,20,ambient,Pickleweed,5.8,2224.46,61.86,35.9600898
,2018,October,KF2,20,ambient,Pickleweed,7.8,2882.55,80.92,35.62432843
,2018,October,KF2,V,ncc,Pickleweed,6.4,2486.54,64.32,38.65740851
,2018,October,KF2,V,ncc,Pickleweed,9.1,3556.16,96.17,36.97596136
,2018,October,KF2,V,ncc,Pickleweed,5.5,2092.69,56.43,37.0874458
,2018,October,KF2,W,ncc,Pickleweed,6.7,2484.99,78.4,31.69436846
,2018,October,KF2,W,ncc,Pickleweed,7.2,2827.99,89.14,31.72428451
,2018,October,KF2,W,ncc,Pickleweed,4.2,1521.37,49.95,30.45896395
,2018,October,KF2,X,ncc,Pickleweed,9.6,3807.14,89.27,42.64926799
,2018,October,KF2,X,ncc,Pickleweed,9.3,3633.68,85.5,42.50117681
,2018,October,KF2,X,ncc,Pickleweed,4.2,1511.89,33.92,44.56725427
,2018,October,KF2,Y,ncc,Pickleweed,4.6,1612.12,50.17,32.13483043
,2018,October,KF2,Y,ncc,Pickleweed,6.5,2464.07,60.61,40.65389927
,2018,October,KF2,Y,ncc,Pickleweed,5.8,2287.1,61.14,37.40664334
,2018,October,KF2,Z,ncc,Pickleweed,5.6,1782.92,65.63,27.16572908
,2018,October,KF2,Z,ncc,Pickleweed,5,1737.72,55.46,31.33468057
,2018,October,KF2,Z,ncc,Pickleweed,6.1,2087.61,67.25,31.04233285